Running 3m test @ http://13.0.0.29:8081/slow/web200k.html
  50 threads and 200 connections
  Thread calibration: mean lat.: 147.972ms, rate sampling interval: 706ms
  Thread calibration: mean lat.: 156.231ms, rate sampling interval: 928ms
  Thread calibration: mean lat.: 120.249ms, rate sampling interval: 603ms
  Thread calibration: mean lat.: 135.431ms, rate sampling interval: 577ms
  Thread calibration: mean lat.: 117.293ms, rate sampling interval: 589ms
  Thread calibration: mean lat.: 158.657ms, rate sampling interval: 580ms
  Thread calibration: mean lat.: 153.625ms, rate sampling interval: 932ms
  Thread calibration: mean lat.: 120.491ms, rate sampling interval: 571ms
  Thread calibration: mean lat.: 170.420ms, rate sampling interval: 777ms
  Thread calibration: mean lat.: 180.492ms, rate sampling interval: 1047ms
  Thread calibration: mean lat.: 158.773ms, rate sampling interval: 849ms
  Thread calibration: mean lat.: 220.338ms, rate sampling interval: 1269ms
  Thread calibration: mean lat.: 163.891ms, rate sampling interval: 935ms
  Thread calibration: mean lat.: 192.079ms, rate sampling interval: 1035ms
  Thread calibration: mean lat.: 165.146ms, rate sampling interval: 849ms
  Thread calibration: mean lat.: 155.425ms, rate sampling interval: 859ms
  Thread calibration: mean lat.: 133.882ms, rate sampling interval: 566ms
  Thread calibration: mean lat.: 163.945ms, rate sampling interval: 926ms
  Thread calibration: mean lat.: 186.413ms, rate sampling interval: 936ms
  Thread calibration: mean lat.: 126.503ms, rate sampling interval: 533ms
  Thread calibration: mean lat.: 172.951ms, rate sampling interval: 1026ms
  Thread calibration: mean lat.: 209.075ms, rate sampling interval: 1035ms
  Thread calibration: mean lat.: 164.376ms, rate sampling interval: 860ms
  Thread calibration: mean lat.: 163.602ms, rate sampling interval: 823ms
  Thread calibration: mean lat.: 147.887ms, rate sampling interval: 772ms
  Thread calibration: mean lat.: 186.717ms, rate sampling interval: 931ms
  Thread calibration: mean lat.: 163.199ms, rate sampling interval: 948ms
  Thread calibration: mean lat.: 165.043ms, rate sampling interval: 1028ms
  Thread calibration: mean lat.: 183.371ms, rate sampling interval: 889ms
  Thread calibration: mean lat.: 150.583ms, rate sampling interval: 657ms
  Thread calibration: mean lat.: 163.807ms, rate sampling interval: 655ms
  Thread calibration: mean lat.: 169.423ms, rate sampling interval: 1022ms
  Thread calibration: mean lat.: 148.319ms, rate sampling interval: 664ms
  Thread calibration: mean lat.: 145.625ms, rate sampling interval: 921ms
  Thread calibration: mean lat.: 159.812ms, rate sampling interval: 824ms
  Thread calibration: mean lat.: 151.284ms, rate sampling interval: 823ms
  Thread calibration: mean lat.: 170.742ms, rate sampling interval: 1042ms
  Thread calibration: mean lat.: 171.021ms, rate sampling interval: 943ms
  Thread calibration: mean lat.: 143.738ms, rate sampling interval: 811ms
  Thread calibration: mean lat.: 143.205ms, rate sampling interval: 809ms
  Thread calibration: mean lat.: 119.050ms, rate sampling interval: 438ms
  Thread calibration: mean lat.: 186.686ms, rate sampling interval: 1043ms
  Thread calibration: mean lat.: 142.568ms, rate sampling interval: 581ms
  Thread calibration: mean lat.: 116.667ms, rate sampling interval: 431ms
  Thread calibration: mean lat.: 200.542ms, rate sampling interval: 937ms
  Thread calibration: mean lat.: 166.966ms, rate sampling interval: 889ms
  Thread calibration: mean lat.: 151.135ms, rate sampling interval: 886ms
  Thread calibration: mean lat.: 154.593ms, rate sampling interval: 812ms
  Thread calibration: mean lat.: 153.547ms, rate sampling interval: 665ms
  Thread calibration: mean lat.: 145.820ms, rate sampling interval: 663ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   175.36ms  186.83ms 948.22ms   83.86%
    Req/Sec     3.54      1.89    12.00     87.15%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%      71.94 ms
 75.000%     247.42 ms
 90.000%     496.13 ms
 99.000%     753.66 ms
 99.900%     892.41 ms
 99.990%     914.43 ms
 99.999%     948.74 ms
100.000%     948.74 ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       3.721     0.000000            1         1.00
      30.095     0.100000         3401         1.11
      39.455     0.200000         6804         1.25
      48.415     0.300000        10204         1.43
      57.599     0.400000        13607         1.67
      71.935     0.500000        17001         2.00
      87.679     0.550000        18698         2.22
     152.575     0.600000        20405         2.50
     181.759     0.650000        22107         2.86
     212.735     0.700000        23800         3.33
     247.551     0.750000        25505         4.00
     271.871     0.775000        26356         4.44
     303.615     0.800000        27198         5.00
     339.199     0.825000        28049         5.71
     389.887     0.850000        28897         6.67
     444.671     0.875000        29746         8.00
     466.431     0.887500        30182         8.89
     496.127     0.900000        30601        10.00
     519.935     0.912500        31021        11.43
     546.303     0.925000        31451        13.33
     569.855     0.937500        31875        16.00
     578.047     0.943750        32083        17.78
     586.751     0.950000        32298        20.00
     599.551     0.956250        32514        22.86
     609.279     0.962500        32725        26.67
     622.591     0.968750        32934        32.00
     634.879     0.971875        33039        35.56
     646.655     0.975000        33147        40.00
     667.647     0.978125        33254        45.71
     681.983     0.981250        33361        53.33
     701.951     0.984375        33468        64.00
     713.215     0.985938        33517        71.11
     721.407     0.987500        33572        80.00
     743.935     0.989062        33625        91.43
     756.223     0.990625        33682       106.67
     771.071     0.992188        33732       128.00
     778.751     0.992969        33756       142.22
     794.111     0.993750        33783       160.00
     807.935     0.994531        33811       182.86
     821.759     0.995313        33836       213.33
     835.583     0.996094        33863       256.00
     839.167     0.996484        33876       284.44
     842.239     0.996875        33890       320.00
     843.775     0.997266        33903       365.71
     846.335     0.997656        33920       426.67
     849.919     0.998047        33929       512.00
     856.063     0.998242        33938       568.89
     857.599     0.998437        33942       640.00
     866.303     0.998633        33949       731.43
     876.543     0.998828        33956       853.33
     892.927     0.999023        33962      1024.00
     897.535     0.999121        33969      1137.78
     897.535     0.999219        33969      1280.00
     900.095     0.999316        33973      1462.86
     901.119     0.999414        33976      1706.67
     903.167     0.999512        33979      2048.00
     903.679     0.999561        33981      2275.56
     904.191     0.999609        33983      2560.00
     907.263     0.999658        33984      2925.71
     908.287     0.999707        33986      3413.33
     908.799     0.999756        33988      4096.00
     908.799     0.999780        33988      4551.11
     909.311     0.999805        33991      5120.00
     909.311     0.999829        33991      5851.43
     909.311     0.999854        33991      6826.67
     909.311     0.999878        33991      8192.00
     914.431     0.999890        33992      9102.22
     914.431     0.999902        33992     10240.00
     937.983     0.999915        33993     11702.86
     937.983     0.999927        33993     13653.33
     937.983     0.999939        33993     16384.00
     947.711     0.999945        33994     18204.44
     947.711     0.999951        33994     20480.00
     947.711     0.999957        33994     23405.71
     947.711     0.999963        33994     27306.67
     947.711     0.999969        33994     32768.00
     948.735     0.999973        33995     36408.89
     948.735     1.000000        33995          inf
#[Mean    =      175.364, StdDeviation   =      186.825]
#[Max     =      948.224, Total count    =        33995]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------

  Latency Distribution (HdrHistogram - Uncorrected Latency (measured without taking delayed starts into account))
 50.000%      71.23 ms
 75.000%     246.66 ms
 90.000%     495.36 ms
 99.000%     753.15 ms
 99.900%     891.90 ms
 99.990%     913.41 ms
 99.999%     948.74 ms
100.000%     948.74 ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       3.567     0.000000            1         1.00
      29.231     0.100000         3401         1.11
      38.655     0.200000         6813         1.25
      47.647     0.300000        10202         1.43
      56.927     0.400000        13600         1.67
      71.231     0.500000        17003         2.00
      86.975     0.550000        18704         2.22
     151.551     0.600000        20397         2.50
     181.119     0.650000        22103         2.86
     211.967     0.700000        23798         3.33
     246.783     0.750000        25502         4.00
     270.591     0.775000        26348         4.44
     302.335     0.800000        27197         5.00
     338.175     0.825000        28048         5.71
     389.119     0.850000        28896         6.67
     443.903     0.875000        29748         8.00
     465.407     0.887500        30171         8.89
     495.359     0.900000        30605        10.00
     519.167     0.912500        31021        11.43
