file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk6/wrk_1003_r_Heavy.txt,3,3,0,87097.34,122421.25,161349.63,174587.90,174587.90,174587.90,174587.90,174587.90,10313.73,16293.89,20414.46,23937.02,23937.02,23937.02,23937.02,23937.02,11
./wrk6/wrk_1003_r_Heavy.txt,3,3,0,68026.37,117899.26,130875.39,157286.40,157286.40,157286.40,157286.40,157286.40,10248.19,16457.73,17121.28,24674.30,24674.30,24674.30,24674.30,24674.30,10
./wrk6/wrk_1003_r_Heavy.txt,3,3,0,81330.18,130220.03,143130.62,164757.50,164757.50,164757.50,164757.50,164757.50,10240.00,20021.25,20103.17,22462.46,22462.46,22462.46,22462.46,22462.46,11
./wrk6/wrk_1003_r_Light.txt,50,100,0,46.11,150.78,265.73,716.29,761.86,866.82,988.67,988.67,45.44,150.14,264.45,715.26,759.81,844.80,987.65,987.65,18002
./wrk6/wrk_1003_w_Heavy.txt,3,3,1,99352.57,135790.59,160432.13,172228.61,172228.61,172228.61,172228.61,172228.61,10141.69,10248.19,13443.07,18268.16,18268.16,18268.16,18268.16,18268.16,13
./wrk6/wrk_1003_w_Heavy.txt,3,3,1,82640.90,130285.57,158334.98,179699.71,179699.71,179699.71,179699.71,179699.71,10952.70,14221.31,16154.62,19578.88,19578.88,19578.88,19578.88,19578.88,12
./wrk6/wrk_1003_w_Heavy.txt,3,3,1,88932.35,136445.95,161218.56,177340.42,177340.42,177340.42,177340.42,177340.42,10207.23,14516.22,14942.21,20791.29,20791.29,20791.29,20791.29,20791.29,12
./wrk6/wrk_1003_w_Light.txt,50,100,1,48.00,132.99,199.81,375.30,454.65,473.86,487.94,487.94,47.26,132.22,199.17,374.78,448.77,472.57,487.17,487.17,18003
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,304611.33,444858.37,536084.48,583532.54,591396.86,591396.86,591396.86,591396.86,5398.53,8749.06,10289.15,12042.24,13025.28,13025.28,13025.28,13025.28,69
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,299892.73,455344.13,542113.79,590348.29,596639.74,596639.74,596639.74,596639.74,5410.81,7376.90,11403.26,13238.27,15155.20,15155.20,15155.20,15155.20,69
