file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
Running,3,3,0,87097.34,122421.25,161349.63,174587.90,174587.90,174587.90,174587.90,174587.90,10313.73,16293.89,20414.46,23937.02,23937.02,23937.02,23937.02,23937.02,11
Running,3,3,0,68026.37,117899.26,130875.39,157286.40,157286.40,157286.40,157286.40,157286.40,10248.19,16457.73,17121.28,24674.30,24674.30,24674.30,24674.30,24674.30,10
Running,3,3,0,81330.18,130220.03,143130.62,164757.50,164757.50,164757.50,164757.50,164757.50,10240.00,20021.25,20103.17,22462.46,22462.46,22462.46,22462.46,22462.46,11
Running,50,100,0,46.11,150.78,265.73,716.29,761.86,866.82,988.67,988.67,45.44,150.14,264.45,715.26,759.81,844.80,987.65,987.65,18002
Running,3,3,1,99352.57,135790.59,160432.13,172228.61,172228.61,172228.61,172228.61,172228.61,10141.69,10248.19,13443.07,18268.16,18268.16,18268.16,18268.16,18268.16,13
Running,3,3,1,82640.90,130285.57,158334.98,179699.71,179699.71,179699.71,179699.71,179699.71,10952.70,14221.31,16154.62,19578.88,19578.88,19578.88,19578.88,19578.88,12
Running,3,3,1,88932.35,136445.95,161218.56,177340.42,177340.42,177340.42,177340.42,177340.42,10207.23,14516.22,14942.21,20791.29,20791.29,20791.29,20791.29,20791.29,12
Running,50,100,1,48.00,132.99,199.81,375.30,454.65,473.86,487.94,487.94,47.26,132.22,199.17,374.78,448.77,472.57,487.17,487.17,18003
Running,3,3,0,95354.88,141819.90,155582.46,168296.45,168296.45,168296.45,168296.45,168296.45,11108.35,19169.28,21282.81,21659.65,21659.65,21659.65,21659.65,21659.65,10
Running,3,3,0,103022.59,129302.53,160956.42,174456.83,174456.83,174456.83,174456.83,174456.83,11681.79,15695.87,19038.21,19709.95,19709.95,19709.95,19709.95,19709.95,11
Running,3,3,0,82640.90,127926.27,154271.74,166854.65,166854.65,166854.65,166854.65,166854.65,11018.24,11091.97,14655.49,16179.20,16179.20,16179.20,16179.20,16179.20,12
Running,50,200,0,97.41,204.16,345.09,702.46,837.12,869.38,1023.49,1023.49,96.77,203.39,344.06,701.44,835.58,868.86,1022.98,1022.98,36011
Running,3,3,0,84672.51,131530.75,159907.84,173539.33,173539.33,173539.33,173539.33,173539.33,14655.49,21594.11,26525.69,28770.30,28770.30,28770.30,28770.30,28770.30,9
Running,3,3,0,66912.26,125698.05,160432.13,177209.34,177209.34,177209.34,177209.34,177209.34,11788.29,17973.25,18268.16,31916.03,31916.03,31916.03,31916.03,31916.03,10
