file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,289144.83,452984.83,538443.78,588251.14,588251.14,588251.14,588251.14,588251.14,10231.81,15695.87,18939.90,27131.90,27131.90,27131.90,27131.90,27131.90,38
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,294912.00,424935.42,513802.24,581435.39,581435.39,581435.39,581435.39,581435.39,10051.58,15548.42,17874.94,22069.25,22069.25,22069.25,22069.25,22069.25,39
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,299630.59,444071.93,522715.14,581959.68,581959.68,581959.68,581959.68,581959.68,10190.85,13713.41,18628.61,26624.00,26624.00,26624.00,26624.00,26624.00,39
./wrk6/wrk_1003_r_10min_Light.txt,50,100,0,56.06,425.98,552.96,1056.77,1652.73,2330.62,2981.89,3141.63,46.98,421.12,547.84,1001.47,1470.46,1505.28,1513.47,1558.53,59991
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,279183.36,437256.19,520617.98,585105.41,585105.41,585105.41,585105.41,585105.41,10665.98,15097.85,18137.09,28901.38,28901.38,28901.38,28901.38,28901.38,38
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,299106.30,438304.77,542638.08,598736.90,598736.90,598736.90,598736.90,598736.90,10027.01,10223.61,17580.03,21463.04,21463.04,21463.04,21463.04,21463.04,44
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,290979.84,438566.91,511705.09,581959.68,581959.68,581959.68,581959.68,581959.68,10403.84,15343.61,18677.76,24051.71,24051.71,24051.71,24051.71,24051.71,38
./wrk6/wrk_1003_w_10min_Light.txt,50,100,1,65.79,270.08,492.80,935.42,1093.63,1274.88,1354.75,1468.41,64.89,269.06,492.03,933.38,1089.54,1149.95,1191.93,1193.98,60012
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,321912.83,476315.65,545259.52,595066.88,595066.88,595066.88,595066.88,595066.88,12656.64,19480.58,22265.85,29081.60,29081.60,29081.60,29081.60,29081.60,34
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,271581.18,425459.71,509870.08,588775.42,588775.42,588775.42,588775.42,588775.42,10854.40,15515.65,18169.85,26001.41,26001.41,26001.41,26001.41,26001.41,38
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,322699.26,435683.33,528744.45,596639.74,596639.74,596639.74,596639.74,596639.74,11026.43,16859.13,24133.63,31047.68,31047.68,31047.68,31047.68,31047.68,35
./wrk6/wrk_2003_r_10min_Light.txt,50,200,0,81.53,359.94,562.17,951.81,1208.32,1420.29,1697.79,1763.33,79.04,358.65,560.64,947.20,1131.52,1179.65,1203.20,1211.39,120016
./wrk6/wrk_2003_w_10min_Heavy.txt,3,3,1,314048.51,452984.83,541065.21,590872.57,590872.57,590872.57,590872.57,590872.57,10698.75,12673.02,16605.18,23035.90,23035.90,23035.90,23035.90,23035.90,41
./wrk6/wrk_2003_w_10min_Heavy.txt,3,3,1,313524.22,452460.54,527958.02,597164.03,597164.03,597164.03,597164.03,597164.03,10813.44,16244.74,18415.62,23248.90,23248.90,23248.90,23248.90,23248.90,38
./wrk6/wrk_2003_w_10min_Heavy.txt,3,3,1,271056.90,436469.76,501481.47,575668.22,575668.22,575668.22,575668.22,575668.22,10715.14,14163.97,18628.61,24707.07,24707.07,24707.07,24707.07,24707.07,39
./wrk6/wrk_2003_w_10min_Light.txt,50,200,1,119.49,235.13,418.56,763.90,997.89,1146.88,1324.03,1328.13,118.72,234.37,417.54,762.88,995.84,1146.88,1323.01,1328.13,120013
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,272367.61,420478.97,506200.06,593494.02,593494.02,593494.02,593494.02,593494.02,14516.22,19251.20,26034.17,32473.09,32473.09,32473.09,32473.09,32473.09,31
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,327680.00,461635.58,532152.32,588775.42,588775.42,588775.42,588775.42,588775.42,16605.18,23281.66,25329.66,34635.78,34635.78,34635.78,34635.78,34635.78,29
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,328204.29,472383.49,551550.97,597164.03,597164.03,597164.03,597164.03,597164.03,12066.82,20037.63,23560.19,34406.40,34406.40,34406.40,34406.40,34406.40,33
