file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,289144.83,452984.83,538443.78,588251.14,588251.14,588251.14,588251.14,588251.14,10231.81,15695.87,18939.90,27131.90,27131.90,27131.90,27131.90,27131.90,38
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,294912.00,424935.42,513802.24,581435.39,581435.39,581435.39,581435.39,581435.39,10051.58,15548.42,17874.94,22069.25,22069.25,22069.25,22069.25,22069.25,39
./wrk6/wrk_1003_r_10min_Heavy.txt,3,3,0,299630.59,444071.93,522715.14,581959.68,581959.68,581959.68,581959.68,581959.68,10190.85,13713.41,18628.61,26624.00,26624.00,26624.00,26624.00,26624.00,39
./wrk6/wrk_1003_r_10min_Light.txt,50,100,0,56.06,425.98,552.96,1056.77,1652.73,2330.62,2981.89,3141.63,46.98,421.12,547.84,1001.47,1470.46,1505.28,1513.47,1558.53,59991
./wrk6/wrk_1003_r_10min_v2_Heavy.txt,3,3,0,306970.62,453771.26,534511.61,577241.09,577241.09,577241.09,577241.09,577241.09,10461.18,17121.28,23642.11,27885.57,27885.57,27885.57,27885.57,27885.57,35
./wrk6/wrk_1003_r_10min_v2_Heavy.txt,3,3,0,302252.03,469762.05,535822.33,596639.74,596639.74,596639.74,596639.74,596639.74,10207.23,15958.01,20561.92,28327.94,28327.94,28327.94,28327.94,28327.94,38
./wrk6/wrk_1003_r_10min_v2_Heavy.txt,3,3,0,316407.81,455606.27,531628.03,596115.45,596115.45,596115.45,596115.45,596115.45,11231.23,16809.98,20824.06,27770.88,27770.88,27770.88,27770.88,27770.88,37
./wrk6/wrk_1003_r_10min_v2_Light.txt,50,100,0,56.06,437.25,631.81,1204.22,1750.02,2381.82,2662.40,2826.24,50.66,430.33,618.50,1147.90,1469.44,1503.23,1536.00,1598.46,60019
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,279183.36,437256.19,520617.98,585105.41,585105.41,585105.41,585105.41,585105.41,10665.98,15097.85,18137.09,28901.38,28901.38,28901.38,28901.38,28901.38,38
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,299106.30,438304.77,542638.08,598736.90,598736.90,598736.90,598736.90,598736.90,10027.01,10223.61,17580.03,21463.04,21463.04,21463.04,21463.04,21463.04,44
./wrk6/wrk_1003_w_10min_Heavy.txt,3,3,1,290979.84,438566.91,511705.09,581959.68,581959.68,581959.68,581959.68,581959.68,10403.84,15343.61,18677.76,24051.71,24051.71,24051.71,24051.71,24051.71,38
./wrk6/wrk_1003_w_10min_Light.txt,50,100,1,65.79,270.08,492.80,935.42,1093.63,1274.88,1354.75,1468.41,64.89,269.06,492.03,933.38,1089.54,1149.95,1191.93,1193.98,60012
./wrk6/wrk_1003_w_10min_v2_Heavy.txt,3,3,1,294125.57,457441.28,543686.66,591921.15,591921.15,591921.15,591921.15,591921.15,10018.82,10166.27,13836.29,19513.34,19513.34,19513.34,19513.34,19513.34,45
./wrk6/wrk_1003_w_10min_v2_Heavy.txt,3,3,1,311164.93,450887.68,543686.66,599261.18,599261.18,599261.18,599261.18,599261.18,10035.20,10756.09,15826.94,20201.47,20201.47,20201.47,20201.47,20201.47,44
./wrk6/wrk_1003_w_10min_v2_Heavy.txt,3,3,1,290979.84,460849.15,539492.35,598736.90,598736.90,598736.90,598736.90,598736.90,10108.93,14082.05,17252.35,19546.11,19546.11,19546.11,19546.11,19546.11,42
./wrk6/wrk_1003_w_10min_v2_Light.txt,50,100,1,71.23,312.83,472.06,821.25,965.12,1241.09,1260.54,1288.19,70.40,312.06,471.04,820.74,962.56,1240.06,1259.52,1287.17,60001
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,321912.83,476315.65,545259.52,595066.88,595066.88,595066.88,595066.88,595066.88,12656.64,19480.58,22265.85,29081.60,29081.60,29081.60,29081.60,29081.60,34
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,271581.18,425459.71,509870.08,588775.42,588775.42,588775.42,588775.42,588775.42,10854.40,15515.65,18169.85,26001.41,26001.41,26001.41,26001.41,26001.41,38
./wrk6/wrk_2003_r_10min_Heavy.txt,3,3,0,322699.26,435683.33,528744.45,596639.74,596639.74,596639.74,596639.74,596639.74,11026.43,16859.13,24133.63,31047.68,31047.68,31047.68,31047.68,31047.68,35
