Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
3,3,0,92667.90,119013.38,152961.02,170131.45,170131.45,170131.45,170131.45,170131.45,11091.97,14417.92,18612.22,19562.49,19562.49,19562.49,19562.49,19562.49,11
3,3,0,93716.48,132513.79,162267.14,178651.14,178651.14,178651.14,178651.14,178651.14,10747.90,14753.79,19005.44,19677.18,19677.18,19677.18,19677.18,19677.18,12
3,3,0,86245.38,129236.99,158859.26,171311.10,171311.10,171311.10,171311.10,171311.10,10952.70,13074.43,14622.72,14655.49,14655.49,14655.49,14655.49,14655.49,12
50,100,0,218.88,536.58,724.99,1680.38,2560.00,3147.78,3643.39,3643.39,138.24,514.05,543.23,1043.97,1075.20,1110.02,1144.83,1144.83,35988
3,3,1,94502.91,121110.53,147324.93,167903.23,167903.23,167903.23,167903.23,167903.23,10862.59,11198.46,17711.10,21839.87,21839.87,21839.87,21839.87,21839.87,11
3,3,1,77398.01,120782.85,145227.77,168034.30,168034.30,168034.30,168034.30,168034.30,10895.36,17104.90,21135.36,21626.88,21626.88,21626.88,21626.88,21626.88,10
3,3,1,94109.70,123797.50,154271.74,167378.94,167378.94,167378.94,167378.94,167378.94,11354.11,14598.14,17858.56,19824.64,19824.64,19824.64,19824.64,19824.64,11
50,100,1,55.20,160.64,389.12,829.44,1304.58,1595.39,1773.57,1773.57,51.23,146.81,368.89,724.48,1007.62,1199.10,1258.49,1258.49,36004
3,3,0,116129.79,131923.97,159514.62,179568.64,179568.64,179568.64,179568.64,179568.64,25706.49,26279.94,26525.69,32096.26,32096.26,32096.26,32096.26,32096.26,7
3,3,0,71237.63,131137.54,157286.40,171835.39,171835.39,171835.39,171835.39,171835.39,12951.55,25427.97,27066.37,28114.94,28114.94,28114.94,28114.94,28114.94,8
3,3,0,85262.34,135528.45,151126.02,165806.08,165806.08,165806.08,165806.08,165806.08,12976.13,22609.92,27328.51,32702.46,32702.46,32702.46,32702.46,32702.46,8
50,200,0,289.54,776.70,1429.50,3414.01,5447.68,6811.65,7405.57,7606.27,50.40,457.21,878.59,1259.52,1425.41,1483.78,1524.73,1642.49,71944
3,3,1,87687.17,121307.13,159776.77,175112.19,175112.19,175112.19,175112.19,175112.19,12607.49,12886.01,16605.18,21135.36,21135.36,21135.36,21135.36,21135.36,11
3,3,1,100990.98,135397.38,155058.17,176029.70,176029.70,176029.70,176029.70,176029.70,17891.33,19644.42,19693.57,25149.44,25149.44,25149.44,25149.44,25149.44,9
3,3,1,95223.81,146407.42,162136.06,176422.91,176422.91,176422.91,176422.91,176422.91,13787.14,18137.09,18382.85,19365.89,19365.89,19365.89,19365.89,19365.89,10
50,200,1,114.94,192.64,289.54,617.98,805.89,1083.39,1154.05,1264.64,112.19,189.69,284.16,604.16,664.06,786.43,838.65,990.72,72000
3,3,0,101711.87,120848.38,154533.89,173146.11,173146.11,173146.11,173146.11,173146.11,19283.97,26476.54,31064.06,31866.88,31866.88,31866.88,31866.88,31866.88,7
3,3,0,70975.49,89915.39,125698.05,168427.52,168427.52,168427.52,168427.52,168427.52,15990.78,16244.74,34111.49,39682.05,39682.05,39682.05,39682.05,39682.05,7
3,3,0,64782.33,118161.41,118161.41,158072.83,158072.83,158072.83,158072.83,158072.83,18939.90,29900.80,29900.80,38141.95,38141.95,38141.95,38141.95,38141.95,7
50,300,0,547.84,1690.62,3612.67,8871.93,12386.30,15212.54,16392.19,16695.29,133.63,555.01,848.38,1920.00,2105.34,2152.45,2277.38,2512.89,106649
3,3,1,101056.51,129957.89,160563.20,178520.06,178520.06,178520.06,178520.06,178520.06,24559.62,26132.48,28770.30,29917.18,29917.18,29917.18,29917.18,29917.18,7
3,3,1,94175.23,137363.45,155320.32,173539.33,173539.33,173539.33,173539.33,173539.33,15327.23,16908.29,23461.89,38371.33,38371.33,38371.33,38371.33,38371.33,8
3,3,1,63471.61,123469.82,123469.82,156106.75,156106.75,156106.75,156106.75,156106.75,16236.54,30932.99,30932.99,39321.60,39321.60,39321.60,39321.60,39321.60,6
50,300,1,152.45,251.90,492.80,1088.51,1843.20,2609.15,3033.09,3244.03,141.18,235.01,433.66,865.28,1098.75,1149.95,1227.78,1247.23,108013
3,3,0,100663.29,149553.15,149553.15,172097.54,172097.54,172097.54,172097.54,172097.54,21889.02,29212.67,29212.67,41713.66,41713.66,41713.66,41713.66,41713.66,6
3,3,0,71958.53,145489.92,145489.92,169607.17,169607.17,169607.17,169607.17,169607.17,22380.54,30752.77,30752.77,36962.30,36962.30,36962.30,36962.30,36962.30,6
3,3,0,86507.52,155320.32,155320.32,179568.64,179568.64,179568.64,179568.64,179568.64,21823.49,38502.40,38502.40,42434.56,42434.56,42434.56,42434.56,42434.56,6
50,400,0,241.28,379.13,713.22,1581.06,2478.08,3371.01,3856.38,3899.39,199.04,332.54,571.39,887.29,957.44,1056.77,1146.88,1160.19,144039
3,3,1,69337.09,117702.65,150208.51,150208.51,150208.51,150208.51,150208.51,150208.51,22724.61,29507.58,45776.89,45776.89,45776.89,45776.89,45776.89,45776.89,5
3,3,1,69337.09,143130.62,143130.62,164757.50,164757.50,164757.50,164757.50,164757.50,20922.37,21659.65,21659.65,47939.58,47939.58,47939.58,47939.58,47939.58,6
3,3,1,76414.98,128909.31,128909.31,156893.18,156893.18,156893.18,156893.18,156893.18,20545.53,27017.22,27017.22,30130.17,30130.17,30130.17,30130.17,30130.17,6
50,400,1,212.22,371.45,730.11,1646.59,2625.53,3538.94,4849.66,5341.18,177.02,307.45,535.55,1023.49,1206.27,1273.86,1555.45,1560.58,144013
