file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk9/wrk_1003_r_Heavy.txt,3,3,0,929038.33,1362100.22,1623195.65,1777336.32,1794113.53,1794113.53,1794113.53,1794113.53,11599.87,15720.45,19496.96,28966.91,36077.57,36077.57,36077.57,36077.57,112
./wrk9/wrk_1003_r_Heavy.txt,3,3,0,889192.45,1340080.13,1604321.28,1776287.74,1797259.26,1797259.26,1797259.26,1797259.26,10166.27,15589.38,20201.47,26230.78,27181.06,27181.06,27181.06,27181.06,116
./wrk9/wrk_1003_r_Heavy.txt,3,3,0,923271.17,1366294.53,1633681.41,1781530.62,1795162.11,1795162.11,1795162.11,1795162.11,10649.60,15982.59,19988.48,27213.82,40534.01,40534.01,40534.01,40534.01,114
./wrk9/wrk_1003_r_Light.txt,50,100,0,54.37,433.41,580.10,1190.91,2038.78,2916.35,3438.59,3702.78,48.45,426.75,570.88,1117.18,1487.87,1524.73,1545.21,1596.41,180036
./wrk9/wrk_1003_w_Heavy.txt,3,3,1,897056.77,1322254.33,1595932.67,1771044.86,1786773.50,1786773.50,1786773.50,1786773.50,10117.12,13492.22,17793.02,21250.05,22642.69,22642.69,22642.69,22642.69,124
./wrk9/wrk_1003_w_Heavy.txt,3,3,1,920125.44,1328545.79,1607467.01,1774190.59,1792016.38,1792016.38,1792016.38,1792016.38,10084.35,14368.77,18546.69,25952.26,26820.61,26820.61,26820.61,26820.61,123
./wrk9/wrk_1003_w_Heavy.txt,3,3,1,885522.43,1375731.71,1624244.22,1782579.20,1795162.11,1795162.11,1795162.11,1795162.11,10051.58,13262.85,16744.45,21266.43,23740.42,23740.42,23740.42,23740.42,126
./wrk9/wrk_1003_w_Light.txt,50,100,1,69.95,273.66,481.54,904.19,992.77,1093.63,1167.36,1298.43,69.06,272.89,480.51,901.63,982.53,1051.65,1165.31,1175.55,180015
./wrk9/wrk_2003_r_Heavy.txt,3,3,0,922222.59,1331691.52,1593835.52,1783627.77,1797259.26,1797259.26,1797259.26,1797259.26,12255.23,17711.10,20365.31,29818.88,32178.17,32178.17,32178.17,32178.17,107
./wrk9/wrk_2003_r_Heavy.txt,3,3,0,909115.39,1356857.34,1586495.49,1778384.90,1792016.38,1792016.38,1792016.38,1792016.38,12369.92,17940.48,21479.42,25657.34,29196.29,29196.29,29196.29,29196.29,106
./wrk9/wrk_2003_r_Heavy.txt,3,3,0,918028.29,1324351.49,1589641.22,1769996.29,1783627.77,1783627.77,1783627.77,1783627.77,10993.66,15908.86,20414.46,25886.72,36929.54,36929.54,36929.54,36929.54,111
./wrk9/wrk_2003_r_Light.txt,50,200,0,97.28,355.84,561.66,896.51,1170.43,1341.44,1532.93,1602.56,95.10,354.81,560.13,892.93,1081.34,1142.78,1199.10,1421.31,360033
./wrk9/wrk_2003_w_Heavy.txt,3,3,1,877658.11,1352663.04,1611661.31,1768947.71,1781530.62,1781530.62,1781530.62,1781530.62,10805.25,16080.90,20758.53,24608.77,31195.13,31195.13,31195.13,31195.13,113
./wrk9/wrk_2003_w_Heavy.txt,3,3,1,872939.52,1345323.01,1624244.22,1771044.86,1783627.77,1783627.77,1783627.77,1783627.77,10944.51,14680.06,20971.52,27672.58,31277.06,31277.06,31277.06,31277.06,113
./wrk9/wrk_2003_w_Heavy.txt,3,3,1,909115.39,1366294.53,1613758.46,1771044.86,1784676.35,1784676.35,1784676.35,1784676.35,10797.06,14245.89,18759.68,24346.62,30195.71,30195.71,30195.71,30195.71,117
./wrk9/wrk_2003_w_Light.txt,50,200,1,75.14,216.57,409.34,730.62,976.89,1153.02,1341.44,1403.90,74.37,215.81,408.57,729.09,973.31,1073.15,1341.44,1402.88,360050
./wrk9/wrk_3003_r_2_Heavy.txt,3,3,0,901251.07,1344274.43,1616904.19,1771044.86,1795162.11,1795162.11,1795162.11,1795162.11,12886.01,18907.13,23461.89,41615.36,44531.71,44531.71,44531.71,44531.71,97
